,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
472,2017,TreptowKpenick,90518,RahnsdorfHessenwinkel,4,3,58,12,16,275,12,77,79,25,0,0,60,11,2,95
473,2016,Lichtenberg,110410,FriedrichsfeldeNord,7,5,137,21,42,571,41,132,82,21,6,1,149,28,24,280
474,2013,CharlottenburgWilmersdorf,40101,CharlottenburgNord,53,16,298,64,154,1119,71,418,65,79,15,7,230,20,156,710
475,2018,MarzahnHellersdorf,109900,BezirkMzHdnichtzuzuordnen,9,9,67,14,27,216,15,36,47,1,6,1,78,14,13,140
476,2016,Lichtenberg,110512,RummelsburgerBucht,1,1,27,7,8,294,9,34,83,20,8,6,22,8,6,88
477,2012,Pankow,30715,PrenzlauerBergSdwest,18,12,344,92,71,2016,52,223,381,149,10,2,536,192,34,996
478,2017,Neuklln,80104,Rixdorf,64,32,520,154,155,2323,41,288,375,121,21,6,508,109,284,1452
479,2012,SteglitzZehlendorf,60305,TeltowerDamm,23,7,151,38,86,1254,36,243,301,103,10,2,339,70,50,445
480,2012,Neuklln,80104,Rixdorf,113,55,605,198,221,2088,38,316,261,201,32,16,550,80,103,1542
481,2013,CharlottenburgWilmersdorf,40304,SchloCharlottenburg,46,21,205,46,92,1205,29,176,256,92,12,7,186,28,63,633
482,2017,TreptowKpenick,90520,KpenickNord,4,3,50,13,16,253,18,58,67,30,2,0,75,23,7,114
483,2016,FriedrichshainKreuzberg,20304,sdlicheLuisenstadt,137,90,435,158,90,2537,30,248,360,61,29,9,532,190,1078,935
484,2016,FriedrichshainKreuzberg,20202,TempelhoferVorstadt,114,60,792,231,237,6237,130,708,1155,204,55,31,901,187,284,1947
485,2012,Mitte,10441,Parkviertel,109,48,783,211,318,2879,77,564,365,157,55,20,568,65,244,1794
486,2014,Pankow,30716,PrenzlauerBergSd,13,7,145,28,49,1697,100,229,380,137,13,6,321,73,29,738
487,2017,Mitte,10331,OsloerStrae,55,36,736,174,252,2740,41,371,244,86,36,15,441,71,227,1391
488,2016,Lichtenberg,110102,NeuHohenschnhausenNord,26,16,271,43,72,678,64,141,89,27,17,5,201,31,55,574
489,2013,TreptowKpenick,90206,Niederschneweide,14,5,145,40,44,903,25,93,133,10,11,6,169,51,32,279
490,2019,CharlottenburgWilmersdorf,40101,CharlottenburgNord,35,10,316,84,110,1086,91,336,59,75,28,18,200,28,216,690
491,2019,Neuklln,80104,Rixdorf,55,40,492,153,148,2341,18,293,465,92,23,16,548,90,346,1506
492,2019,Lichtenberg,119900,BezirkLbnichtzuzuordnen,3,3,7,1,4,28,0,1,6,0,0,0,5,0,1,17
493,2015,Mitte,10114,BrunnenstraeSd,29,13,204,40,61,2419,61,231,418,108,9,6,346,116,72,862
494,2014,MarzahnHellersdorf,100204,HellersdorfNord,32,20,634,109,189,1595,65,211,166,36,31,13,565,110,94,1300
495,2015,Reinickendorf,123021,MV1MrkischesViertel,65,33,508,134,202,2052,72,365,122,42,35,9,308,19,96,1448
496,2016,Pankow,30716,PrenzlauerBergSd,19,8,157,33,44,1730,85,271,442,97,13,4,372,117,39,739
497,2015,FriedrichshainKreuzberg,29900,BezirkFhKbnichtzuzuordnen,95,77,149,55,42,1904,33,198,158,2,5,2,129,30,294,377
498,2013,TreptowKpenick,90101,AltTreptow,45,29,127,30,33,1069,21,109,228,42,2,1,166,51,65,343
