,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
307,2019,SteglitzZehlendorf,60102,Albrechtstr,35,23,274,49,128,1486,79,308,271,142,31,12,426,90,59,843
308,2016,TreptowKpenick,90414,AllendeViertel,1,1,29,9,14,215,18,17,24,9,3,2,46,3,4,68
309,2013,FriedrichshainKreuzberg,20304,sdlicheLuisenstadt,210,169,562,199,90,2474,66,169,371,119,32,13,468,137,767,1239
310,2014,MarzahnHellersdorf,100409,Mahlsdorf,6,3,100,20,51,1204,30,154,119,79,3,1,147,29,5,225
311,2012,MarzahnHellersdorf,100205,HellersdorfOst,26,11,289,70,101,598,21,89,122,10,30,5,336,86,21,630
312,2019,TreptowKpenick,90415,AltstadtKietz,4,3,102,22,40,180,4,28,49,2,3,0,124,21,27,209
313,2016,Reinickendorf,122141,West1TegelSdFlughafensee,9,2,257,65,92,1006,29,224,63,38,7,3,163,14,232,521
314,2018,SteglitzZehlendorf,60203,Lankwitz,19,4,386,81,175,1167,41,254,130,76,22,12,290,33,84,789
315,2019,Spandau,50206,Wilhelmstadt,39,20,601,150,202,2459,30,207,162,55,20,8,364,40,101,1148
316,2017,Lichtenberg,110307,AltLichtenberg,24,11,513,119,136,2342,85,384,222,66,26,13,428,126,67,932
317,2019,Reinickendorf,122145,West5TegelTegelerForst,29,15,164,53,70,860,7,38,69,36,8,4,127,26,34,350
318,2014,TreptowKpenick,90205,Oberschneweide,12,5,287,65,94,987,46,245,138,23,12,7,221,39,50,587
319,2015,Reinickendorf,121031,Ost1Reginhardstr,39,17,428,99,148,1150,39,201,124,74,17,7,276,28,89,923
320,2015,Pankow,30715,PrenzlauerBergSdwest,17,9,285,80,51,2519,59,217,388,116,10,4,396,136,46,1200
321,2019,Reinickendorf,123012,Nord2WaidmannslustWittenauLbars,34,19,372,85,123,1160,30,135,150,93,16,3,306,74,110,728
322,2013,Reinickendorf,129900,BezirkRdnichtzuzuordnen,3,0,23,7,7,136,1,7,0,1,6,6,92,46,7,34
323,2019,Spandau,50205,HeerstraeNord,21,9,362,77,122,860,35,151,88,51,25,12,338,70,42,740
324,2013,Neuklln,89900,BezirkNknichtzuzuordnen,5,4,57,17,11,230,2,16,0,0,0,0,52,39,10,77
325,2012,Pankow,30611,PrenzlauerBergNordwest,80,32,228,68,83,1716,95,176,406,78,19,8,339,113,85,766
326,2012,CharlottenburgWilmersdorf,40203,Westend,40,12,207,48,117,1974,57,282,170,112,7,2,317,36,38,662
327,2018,Lichtenberg,110205,AltHohenschnhausenSd,11,6,249,47,72,935,103,218,117,51,15,8,232,47,32,515
328,2015,FriedrichshainKreuzberg,20407,KarlMarxAlleeSd,126,82,518,145,104,3492,28,237,301,44,14,7,463,141,438,1104
329,2012,TempelhofSchneberg,70202,SchnebergSd,80,35,510,119,162,2699,62,312,557,219,26,11,545,145,239,1297
330,2014,TreptowKpenick,90207,Adlershof,13,7,112,23,59,1054,44,183,165,28,11,5,201,79,19,324
331,2013,Lichtenberg,110512,RummelsburgerBucht,6,4,19,7,8,173,9,45,25,9,22,10,63,13,8,62
332,2019,Mitte,19900,BezirkMinichtzuzuordnen,5,4,19,7,5,94,0,6,10,0,0,0,15,7,17,34
333,2019,Spandau,50101,Hakenfelde,12,4,165,35,63,813,41,173,64,31,26,16,229,13,26,476
334,2014,CharlottenburgWilmersdorf,40412,Schmargendorf,12,7,85,14,36,607,23,131,67,99,4,1,67,2,8,256
335,2019,CharlottenburgWilmersdorf,40514,DsseldorferStrae,38,17,260,65,93,1686,67,314,290,83,24,11,357,119,80,807
336,2013,Pankow,30715,PrenzlauerBergSdwest,29,12,325,86,56,2201,87,218,349,118,16,9,403,130,45,907
337,2019,Mitte,10111,TiergartenSd,60,35,365,92,128,2271,15,198,296,55,13,6,347,77,231,980
338,2019,TreptowKpenick,90104,Johannisthal,12,6,121,21,67,591,47,161,90,39,14,6,143,11,32,340
339,2018,Neuklln,80410,Rudow,33,22,220,49,98,1100,77,299,89,127,26,8,310,51,32,576
340,2019,Neuklln,80103,Reuterstrae,77,47,604,203,187,3413,24,296,628,114,42,23,593,147,462,1717
341,2012,Spandau,50409,GatowKladow,5,1,76,15,25,435,24,129,34,65,13,5,131,20,0,158
342,2018,CharlottenburgWilmersdorf,40101,CharlottenburgNord,23,6,279,84,107,1030,70,240,123,51,16,9,232,22,185,721
343,2014,Lichtenberg,110205,AltHohenschnhausenSd,21,10,261,42,91,1246,60,317,123,70,14,2,280,57,45,665
344,2018,CharlottenburgWilmersdorf,40304,SchloCharlottenburg,18,10,282,62,87,1062,29,105,190,52,14,6,261,80,37,638
345,2016,Pankow,30304,Karow,5,2,71,12,23,379,9,74,88,72,14,5,82,15,12,140
346,2016,Lichtenberg,110306,Fennpfuhl,26,17,269,51,103,1591,140,450,245,95,28,5,359,69,22,691
347,2019,Mitte,10112,Regierungsviertel,42,20,554,136,152,3692,13,172,352,22,19,4,497,162,170,1057
348,2018,Mitte,10111,TiergartenSd,70,58,416,125,103,2540,17,274,310,39,14,3,284,42,273,1247
349,2019,TempelhofSchneberg,70101,SchnebergNord,125,81,737,206,228,4691,39,383,642,113,32,18,672,233,413,2016
350,2013,Lichtenberg,110101,MalchowWartenbergundFalkenberg,2,0,23,3,12,246,4,41,8,35,5,4,29,3,5,52
351,2014,CharlottenburgWilmersdorf,40202,Heerstrasse,16,10,163,52,41,692,54,191,56,96,1,1,184,76,26,307
352,2019,CharlottenburgWilmersdorf,40617,ForstGrunewald,6,6,17,6,13,36,1,11,3,1,13,13,15,5,4,44
353,2015,Spandau,50307,Haselhorst,21,7,157,29,67,1007,57,143,73,38,10,5,115,13,20,483
354,2017,FriedrichshainKreuzberg,20506,FrankfurterAlleeNord,26,12,320,101,76,1894,29,184,377,56,28,11,516,137,126,860
